20260115,2026-01-15,15,1,January,1,2026,Thursday,No
20260116,2026-01-16,16,1,January,1,2026,Friday,No
20260118,2026-01-18,18,1,January,1,2026,Sunday,Yes
20260120,2026-01-20,20,1,January,1,2026,Tuesday,No
20260122,2026-01-22,22,1,January,1,2026,Thursday,No
20260124,2026-01-24,24,1,January,1,2026,Saturday,Yes
20260126,2026-01-26,26,1,January,1,2026,Monday,No
20260128,2026-01-28,28,1,January,1,2026,Wednesday,No
20260130,2026-01-30,30,1,January,1,2026,Friday,No
20260201,2026-02-01,1,2,February,1,2026,Sunday,Yes
20260203,2026-02-03,3,2,February,1,2026,Tuesday,No
20260205,2026-02-05,5,2,February,1,2026,Thursday,No
20260207,2026-02-07,7,2,February,1,2026,Saturday,Yes
20260209,2026-02-09,9,2,February,1,2026,Monday,No
20260210,2026-02-10,10,2,February,1,2026,Tuesday,No
20260211,2026-02-11,11,2,February,1,2026,Wednesday,No
20260213,2026-02-13,13,2,February,1,2026,Friday,No
20260215,2026-02-15,15,2,February,1,2026,Sunday,Yes
20260217,2026-02-17,17,2,February,1,2026,Tuesday,No
20260219,2026-02-19,19,2,February,1,2026,Thursday,No
20260220,2026-02-20,20,2,February,1,2026,Friday,No
20260221,2026-02-21,21,2,February,1,2026,Saturday,Yes
20260223,2026-02-23,23,2,February,1,2026,Monday,No
20260225,2026-02-25,25,2,February,1,2026,Wednesday,No
20260227,2026-02-27,27,2,February,1,2026,Friday,No
20260301,2026-03-01,1,3,March,1,2026,Sunday,Yes
20260303,2026-03-03,3,3,March,1,2026,Tuesday,No
20260305,2026-03-05,5,3,March,1,2026,Thursday,No
20260307,2026-03-07,7,3,March,1,2026,Saturday,Yes
20260309,2026-03-09,9,3,March,1,2026,Monday,No
20260310,2026-03-10,10,3,March,1,2026,Tuesday,No
20260311,2026-03-11,11,3,March,1,2026,Wednesday,No
20260313,2026-03-13,13,3,March,1,2026,Friday,No
20260315,2026-03-15,15,3,March,1,2026,Sunday,Yes
20260317,2026-03-17,17,3,March,1,2026,Tuesday,No
20260319,2026-03-19,19,3,March,1,2026,Thursday,No
20260320,2026-03-20,20,3,March,1,2026,Friday,No
20260321,2026-03-21,21,3,March,1,2026,Saturday,Yes
20260323,2026-03-23,23,3,March,1,2026,Monday,No
20260325,2026-03-25,25,3,March,1,2026,Wednesday,No
20260327,2026-03-27,27,3,March,1,2026,Friday,No
20260329,2026-03-29,29,3,March,1,2026,Sunday,Yes
20260330,2026-03-30,30,3,March,1,2026,Monday,No
20260331,2026-03-31,31,3,March,1,2026,Tuesday,No
20260401,2026-04-01,1,4,April,2,2026,Wednesday,No
20260402,2026-04-02,2,4,April,2,2026,Thursday,No
20260404,2026-04-04,4,4,April,2,2026,Saturday,Yes
20260405,2026-04-05,5,4,April,2,2026,Sunday,Yes
20260406,2026-04-06,6,4,April,2,2026,Monday,No
20260408,2026-04-08,8,4,April,2,2026,Wednesday,No
20260410,2026-04-10,10,4,April,2,2026,Friday,No
20260412,2026-04-12,12,4,April,2,2026,Sunday,Yes
20260415,2026-04-15,15,4,April,2,2026,Wednesday,No
20260420,2026-04-20,20,4,April,2,2026,Monday,No
20260425,2026-04-25,25,4,April,2,2026,Saturday,Yes
20260428,2026-04-28,28,4,April,2,2026,Tuesday,No
20260430,2026-04-30,30,4,April,2,2026,Thursday,No
20260502,2026-05-02,2,5,May,2,2026,Saturday,Yes
20260505,2026-05-05,5,5,May,2,2026,Tuesday,No
20260508,2026-05-08,8,5,May,2,2026,Friday,No
20260510,2026-05-10,10,5,May,2,2026,Sunday,Yes
20260512,2026-05-12,12,5,May,2,2026,Tuesday,No
20260515,2026-05-15,15,5,May,2,2026,Friday,No
20260518,2026-05-18,18,5,May,2,2026,Monday,No
20260520,2026-05-20,20,5,May,2,2026,Wednesday,No
20260522,2026-05-22,22,5,May,2,2026,Friday,No
20260525,2026-05-25,25,5,May,2,2026,Monday,No
20260528,2026-05-28,28,5,May,2,2026,Thursday,No
20260530,2026-05-30,30,5,May,2,2026,Saturday,Yes
20260601,2026-06-01,1,6,June,2,2026,Monday,No
20260603,2026-06-03,3,6,June,2,2026,Wednesday,No
20260605,2026-06-05,5,6,June,2,2026,Friday,No
20260608,2026-06-08,8,6,June,2,2026,Monday,No
20260610,2026-06-10,10,6,June,2,2026,Wednesday,No
20260612,2026-06-12,12,6,June,2,2026,Friday,No
20260615,2026-06-15,15,6,June,2,2026,Monday,No
20260618,2026-06-18,18,6,June,2,2026,Thursday,No
20260620,2026-06-20,20,6,June,2,2026,Saturday,Yes
20260622,2026-06-22,22,6,June,2,2026,Monday,No
20260625,2026-06-25,25,6,June,2,2026,Thursday,No
20260628,2026-06-28,28,6,June,2,2026,Sunday,Yes
20260630,2026-06-30,30,6,June,2,2026,Tuesday,No
20260702,2026-07-02,2,7,July,3,2026,Thursday,No
20260705,2026-07-05,5,7,July,3,2026,Sunday,Yes
20260708,2026-07-08,8,7,July,3,2026,Wednesday,No
20260710,2026-07-10,10,7,July,3,2026,Friday,No
20260712,2026-07-12,12,7,July,3,2026,Sunday,Yes
20260715,2026-07-15,15,7,July,3,2026,Wednesday,No
20260718,2026-07-18,18,7,July,3,2026,Saturday,Yes
20260720,2026-07-20,20,7,July,3,2026,Monday,No
20260722,2026-07-22,22,7,July,3,2026,Wednesday,No
20260725,2026-07-25,25,7,July,3,2026,Saturday,Yes
